wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors,gear,gear_request,di_vehicle_speed_mph,brake_pedal,brake_state
2026-05-08 19:49:18.955,0.3039,eac_transition:AVAILABLE,slider,0,0,0.00,0.00,-11.10,AVAILABLE,OUT_OF_RANGE,3,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:19.237,0.5855,,slider,0,0,0.00,0.00,-11.10,AVAILABLE,OUT_OF_RANGE,10,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:19.637,0.9855,,slider,0,0,0.00,0.00,-11.10,AVAILABLE,OUT_OF_RANGE,20,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:20.037,1.3857,,slider,0,0,0.00,0.00,-11.10,AVAILABLE,OUT_OF_RANGE,30,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:20.437,1.7856,,slider,0,0,0.00,0.00,-11.10,AVAILABLE,OUT_OF_RANGE,40,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:20.837,2.1858,,slider,0,0,0.00,0.00,-11.10,AVAILABLE,OUT_OF_RANGE,50,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:21.237,2.5856,,slider,0,0,0.00,0.00,-11.10,AVAILABLE,OUT_OF_RANGE,60,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:21.263,2.6116,engage,slider,1,0,-11.10,-11.10,-11.10,AVAILABLE,OUT_OF_RANGE,60,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:21.357,2.7058,eac_transition:ACTIVE,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,63,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:21.637,2.9858,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,70,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:22.037,3.3859,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,80,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:22.437,3.7859,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,90,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:22.837,4.1859,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,100,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:23.237,4.5860,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,110,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:23.637,4.9861,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,120,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:24.037,5.3861,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,130,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:24.437,5.7862,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,140,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:24.837,6.1861,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,150,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:25.237,6.5862,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,160,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:25.637,6.9862,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,170,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:26.038,7.3863,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,180,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:26.438,7.7863,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,190,0,P,P,0.00,PRESSED,FAULT
2026-05-08 19:49:26.838,8.1863,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,200,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:27.238,8.5862,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,210,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:27.638,8.9864,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,220,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:28.038,9.3864,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,230,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:28.438,9.7865,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,240,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:28.838,10.1865,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,250,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:29.238,10.5866,,slider,1,0,-11.10,-11.10,-11.00,ACTIVE,NONE,260,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:29.638,10.9866,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,270,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:30.038,11.3866,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,280,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:30.438,11.7868,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,290,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:30.838,12.1870,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,300,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:31.238,12.5868,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,310,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:31.638,12.9867,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,320,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:32.038,13.3869,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,330,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:32.438,13.7868,,slider,1,0,-11.10,-11.10,-11.00,ACTIVE,NONE,340,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:32.838,14.1869,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,350,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:33.238,14.5869,,slider,1,0,-11.10,-11.10,-11.00,ACTIVE,NONE,360,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:33.638,14.9870,,slider,1,0,-11.10,-11.10,-11.00,ACTIVE,NONE,370,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:34.038,15.3869,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,380,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:34.438,15.7870,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,390,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:34.839,16.1870,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,400,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:35.239,16.5871,,slider,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,410,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:35.639,16.9871,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,420,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:36.039,17.3871,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,430,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:36.439,17.7871,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,440,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:36.839,18.1873,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,450,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:37.239,18.5873,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,460,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:37.639,18.9875,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,470,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:38.039,19.3874,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,480,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:38.439,19.7874,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,490,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:38.839,20.1875,,keyboard,1,0,-11.10,-11.10,-11.10,ACTIVE,NONE,500,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:39.239,20.5874,,keyboard,1,0,-2.10,-8.38,-10.90,ACTIVE,NONE,510,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:39.639,20.9879,,keyboard,1,0,41.10,27.96,10.00,ACTIVE,NONE,520,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:40.039,21.3876,,keyboard,1,0,84.30,70.82,55.80,ACTIVE,NONE,530,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:40.439,21.7876,,keyboard,1,0,91.50,90.40,86.50,ACTIVE,NONE,540,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:40.839,22.1878,,keyboard,1,0,55.50,67.84,82.60,ACTIVE,NONE,550,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:41.239,22.5877,,keyboard,1,0,12.30,25.74,45.90,ACTIVE,NONE,560,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:41.639,22.9879,,keyboard,1,0,-29.10,-17.19,-1.80,ACTIVE,NONE,570,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:42.039,23.3877,,keyboard,1,0,-3.90,-14.47,-22.60,ACTIVE,NONE,580,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:42.440,23.7879,,keyboard,1,0,39.30,25.95,6.70,ACTIVE,NONE,590,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:42.839,24.1878,,keyboard,1,0,82.50,69.01,51.50,ACTIVE,NONE,600,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:43.240,24.5879,,keyboard,1,0,82.50,81.83,78.60,ACTIVE,NONE,610,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:43.640,24.9879,,keyboard,1,0,41.10,53.81,69.50,ACTIVE,NONE,620,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:44.040,25.3879,,keyboard,1,0,-2.10,11.36,31.60,ACTIVE,NONE,630,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:44.440,25.7881,,keyboard,1,0,-45.30,-31.80,-16.30,ACTIVE,NONE,640,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:44.840,26.1882,,keyboard,1,0,-52.50,-51.40,-47.40,ACTIVE,NONE,650,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:45.240,26.5880,,keyboard,1,0,-18.30,-30.49,-45.40,ACTIVE,NONE,660,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:45.640,26.9881,,keyboard,1,0,24.90,11.46,-8.60,ACTIVE,NONE,670,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:46.040,27.3881,,keyboard,1,0,64.50,53.99,38.10,ACTIVE,NONE,680,0,P,P,0.00,released,RELEASED
2026-05-08 19:49:46.440,27.7883,,keyboard,1,0,66.30,64.19,61.30,ACTIVE,NONE,690,0,P,P,0.00,released,RELEASED
