wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors,gear,gear_request,di_vehicle_speed_mph,brake_pedal,brake_state
2026-05-18 21:50:16.136,0.2549,eac_transition:AVAILABLE,slider,0,0,-20.86,-8.22,9.20,AVAILABLE,OUT_OF_RANGE,4,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:16.362,0.4810,,slider,0,0,-20.86,-18.09,9.20,AVAILABLE,OUT_OF_RANGE,10,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:16.762,0.8811,,slider,0,0,-20.86,-20.28,9.20,AVAILABLE,OUT_OF_RANGE,20,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:17.162,1.2807,,slider,0,0,-20.86,-20.85,9.30,AVAILABLE,OUT_OF_RANGE,30,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:17.562,1.6808,,slider,0,0,-20.86,-20.73,9.30,AVAILABLE,OUT_OF_RANGE,40,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:17.962,2.0808,,slider,0,0,-20.86,-20.77,9.30,AVAILABLE,OUT_OF_RANGE,50,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:18.362,2.4811,,slider,0,0,-20.86,-20.86,9.30,AVAILABLE,OUT_OF_RANGE,60,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:18.763,2.8818,,slider,0,0,-20.86,-20.79,9.30,AVAILABLE,OUT_OF_RANGE,70,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:19.162,3.2810,,slider,0,0,-20.86,-20.99,9.30,AVAILABLE,OUT_OF_RANGE,80,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:19.562,3.6811,,slider,0,0,-20.86,-21.26,9.30,AVAILABLE,OUT_OF_RANGE,90,0,P,P,0.00,PRESSED,FAULT
2026-05-18 21:50:19.962,4.0815,,slider,0,0,-20.86,-20.89,9.30,AVAILABLE,OUT_OF_RANGE,100,0,P,P,0.00,PRESSED,FAULT
