wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors
2026-05-06 22:53:35.295,0.2179,eac_transition:AVAILABLE,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,3,0
2026-05-06 22:53:35.575,0.4984,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,10,0
2026-05-06 22:53:35.976,0.8990,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,20,0
2026-05-06 22:53:36.376,1.2989,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,30,0
2026-05-06 22:53:36.776,1.6989,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,40,0
2026-05-06 22:53:37.176,2.0990,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,50,0
2026-05-06 22:53:37.576,2.4991,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,60,0
2026-05-06 22:53:37.976,2.8990,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,70,0
2026-05-06 22:53:38.376,3.2991,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,80,0
2026-05-06 22:53:38.776,3.6991,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,90,0
2026-05-06 22:53:39.176,4.0991,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,100,0
2026-05-06 22:53:39.576,4.4991,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,110,0
2026-05-06 22:53:39.976,4.8992,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,120,0
2026-05-06 22:53:40.376,5.2993,,slider,0,0,0.00,0.00,6.60,AVAILABLE,HIGH_ANGLE_REQ,130,0
