wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors,gear,gear_request,di_vehicle_speed_mph,brake_pedal,brake_state
2026-05-26 21:17:20.609,0.0939,eac_transition:INHIBITED,slider,0,0,0.00,-0.00,-66.90,INHIBITED,HANDS_ON,1,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:20.669,0.1536,eac_transition:AVAILABLE,slider,0,0,0.00,-0.00,-66.90,AVAILABLE,HANDS_ON,3,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:20.926,0.4104,engage,slider,1,0,-66.90,-66.90,-66.90,AVAILABLE,HANDS_ON,9,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:20.950,0.4348,,slider,1,0,0.00,-66.90,-66.90,AVAILABLE,HANDS_ON,10,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:20.992,0.4767,eac_transition:ACTIVE,slider,1,0,0.00,-60.90,-66.80,ACTIVE,NONE,11,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:21.357,0.8417,,slider,1,0,0.00,-3.32,-20.70,ACTIVE,NONE,20,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:21.758,1.2423,,slider,1,0,0.00,-0.16,-1.80,ACTIVE,NONE,30,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:22.157,1.6422,,slider,1,0,0.00,-0.01,0.00,ACTIVE,NONE,40,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:22.558,2.0423,,slider,1,0,0.00,-0.00,0.10,ACTIVE,NONE,50,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:22.958,2.4428,,slider,1,0,0.00,-0.00,0.10,ACTIVE,NONE,60,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:23.358,2.8428,,slider,1,0,0.00,-0.00,0.10,ACTIVE,NONE,70,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:23.758,3.2424,,slider,1,0,0.00,-0.00,0.10,ACTIVE,NONE,80,0,P,P,0.00,released,RELEASED
2026-05-26 21:17:24.158,3.6424,,slider,1,0,0.00,-0.00,0.10,ACTIVE,NONE,90,0,P,P,0.00,released,RELEASED
