wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors
2026-05-06 22:57:09.747,0.1314,eac_transition:AVAILABLE,keyboard,0,0,10.20,10.27,33.80,AVAILABLE,OUT_OF_RANGE,3,0
2026-05-06 22:57:10.028,0.4118,,keyboard,0,0,10.20,10.21,33.80,AVAILABLE,OUT_OF_RANGE,10,0
2026-05-06 22:57:10.428,0.8117,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,20,0
2026-05-06 22:57:10.828,1.2119,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,30,0
2026-05-06 22:57:11.228,1.6121,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,40,0
2026-05-06 22:57:11.628,2.0121,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,50,0
2026-05-06 22:57:12.028,2.4124,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,60,0
2026-05-06 22:57:12.428,2.8120,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,70,0
2026-05-06 22:57:12.828,3.2124,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,80,0
2026-05-06 22:57:13.228,3.6121,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,90,0
2026-05-06 22:57:13.628,4.0122,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,100,0
2026-05-06 22:57:14.028,4.4121,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,110,0
2026-05-06 22:57:14.428,4.8121,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,120,0
2026-05-06 22:57:14.829,5.2129,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,130,0
2026-05-06 22:57:15.229,5.6123,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,140,0
2026-05-06 22:57:15.629,6.0125,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,150,0
2026-05-06 22:57:16.029,6.4125,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,160,0
2026-05-06 22:57:16.429,6.8124,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,170,0
2026-05-06 22:57:16.829,7.2126,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,180,0
2026-05-06 22:57:17.229,7.6127,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,190,0
2026-05-06 22:57:17.629,8.0126,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,200,0
2026-05-06 22:57:18.029,8.4126,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,210,0
2026-05-06 22:57:18.429,8.8127,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,220,0
2026-05-06 22:57:18.829,9.2127,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,230,0
2026-05-06 22:57:19.229,9.6129,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,240,0
2026-05-06 22:57:19.630,10.0131,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,250,0
2026-05-06 22:57:20.029,10.4128,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,260,0
2026-05-06 22:57:20.429,10.8127,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,270,0
2026-05-06 22:57:20.830,11.2129,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,280,0
2026-05-06 22:57:21.230,11.6129,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,290,0
2026-05-06 22:57:21.630,12.0129,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,300,0
2026-05-06 22:57:22.030,12.4136,,keyboard,0,0,10.20,10.20,33.80,AVAILABLE,OUT_OF_RANGE,310,0
