wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors,gear,gear_request,di_vehicle_speed_mph,brake_pedal,brake_state
2026-05-07 00:32:28.535,0.1488,eac_transition:AVAILABLE,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,3,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:28.817,0.4304,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,10,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:29.217,0.8303,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,20,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:29.617,1.2308,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,30,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:30.017,1.6310,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,40,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:30.417,2.0306,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,50,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:30.574,2.1877,shift_requested:R,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,53,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:30.957,2.5711,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,60,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:30.967,2.5804,eac_transition:INHIBITED,slider,0,0,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,62,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:30.975,2.5889,estop:loop overrun 365 ms,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,64,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:31.206,2.8195,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,70,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:31.606,3.2201,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,80,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:32.007,3.6207,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,90,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:32.406,4.0200,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,100,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:32.810,4.4240,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,110,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:33.204,4.8182,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,120,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:33.608,5.2218,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,130,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:34.006,5.6198,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,140,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:34.407,6.0205,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,150,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:34.805,6.4189,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,160,0,P,P,0.00,PRESSED,FAULT
