wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors,gear,gear_request,di_vehicle_speed_mph,brake_pedal,brake_state
2026-05-21 21:57:04.850,0.2250,eac_transition:AVAILABLE,slider,0,0,0.00,0.00,-14.30,AVAILABLE,OUT_OF_RANGE,3,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:05.131,0.5061,,slider,0,0,0.00,0.00,-14.30,AVAILABLE,OUT_OF_RANGE,10,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:05.532,0.9063,,slider,0,0,0.00,0.00,-14.30,AVAILABLE,OUT_OF_RANGE,20,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:05.932,1.3063,,slider,0,0,0.00,0.00,-14.30,AVAILABLE,OUT_OF_RANGE,30,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:06.332,1.7068,,slider,0,0,0.00,0.00,-14.30,AVAILABLE,OUT_OF_RANGE,40,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:06.732,2.1066,,slider,0,0,0.00,0.00,-14.30,AVAILABLE,OUT_OF_RANGE,50,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:07.115,2.4895,engage,slider,1,0,-14.30,-14.30,-14.30,AVAILABLE,OUT_OF_RANGE,59,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:07.132,2.5067,,slider,1,0,0.00,-14.30,-14.30,AVAILABLE,OUT_OF_RANGE,60,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:07.198,2.5728,eac_transition:ACTIVE,slider,1,0,0.00,-8.67,-14.00,ACTIVE,NONE,62,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:07.524,2.8984,,slider,1,0,0.00,-0.80,-5.60,ACTIVE,NONE,70,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:07.924,3.2983,,slider,1,0,0.00,-0.04,-1.00,ACTIVE,NONE,80,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:08.324,3.6986,,slider,1,0,0.00,-0.00,-0.30,ACTIVE,NONE,90,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:08.724,4.0986,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,100,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:09.125,4.5002,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,110,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:09.526,4.9003,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,120,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:09.926,5.3004,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,130,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:10.325,5.7002,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,140,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:10.725,6.1003,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,150,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:11.126,6.5006,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,160,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:11.526,6.9004,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,170,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:11.926,7.3003,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,180,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:12.325,7.7003,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,190,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:12.726,8.1006,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,200,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:13.126,8.5005,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,210,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:13.526,8.9006,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,220,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:13.926,9.3008,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,230,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:14.326,9.7007,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,240,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:14.726,10.1010,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,250,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:15.126,10.5009,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,260,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:15.526,10.9009,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,270,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:15.926,11.3011,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,280,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:16.326,11.7008,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,290,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:16.726,12.1012,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,300,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:17.126,12.5012,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,310,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:17.526,12.9009,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,320,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:17.926,13.3009,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,330,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:18.326,13.7012,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,340,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:18.727,14.1014,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,350,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:19.127,14.5013,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,360,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:19.526,14.9011,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,370,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:19.926,15.3011,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,380,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:20.326,15.7010,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,390,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:20.727,16.1013,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,400,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:21.126,16.5012,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,410,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:21.526,16.9012,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,420,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:21.927,17.3015,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,430,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:22.326,17.7010,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,440,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:22.727,18.1016,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,450,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:23.127,18.5014,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,460,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:23.527,18.9014,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,470,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:23.927,19.3016,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,480,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:24.327,19.7016,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,490,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:24.727,20.1020,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,500,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:25.127,20.5015,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,510,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:25.527,20.9016,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,520,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:25.927,21.3017,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,530,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:26.327,21.7018,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,540,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:26.727,22.1018,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,550,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:27.127,22.5017,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,560,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:27.527,22.9019,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,570,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:27.927,23.3020,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,580,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:28.327,23.7018,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,590,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:28.727,24.1023,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,600,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:29.127,24.5020,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,610,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:29.527,24.9020,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,620,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:29.927,25.3023,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,630,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:30.327,25.7021,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,640,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:30.727,26.1022,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,650,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:31.127,26.5021,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,660,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:31.527,26.9022,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,670,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:31.928,27.3024,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,680,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:32.327,27.7022,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,690,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:32.714,28.0887,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,700,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:33.114,28.4884,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,710,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:33.513,28.8882,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,720,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:33.914,29.2883,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,730,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:34.314,29.6885,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,740,0,P,P,0.00,released,RELEASED
2026-05-21 21:57:34.714,30.0885,,slider,1,0,0.00,-0.00,0.00,ACTIVE,NONE,750,0,P,P,0.00,released,RELEASED
