wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors,gear,gear_request,di_vehicle_speed_mph,brake_pedal,brake_state
2026-05-07 00:32:19.010,0.1370,eac_transition:AVAILABLE,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,3,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:19.290,0.4170,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,10,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:19.695,0.8219,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,20,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:20.094,1.2216,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,30,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:20.494,1.6215,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,40,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:20.894,2.0215,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,50,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:21.294,2.4209,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,60,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:21.694,2.8209,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,70,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:21.865,2.9924,shift_requested:D,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,74,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:22.247,3.3742,,slider,0,0,0.00,0.00,0.10,AVAILABLE,OUT_OF_RANGE,80,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:22.251,3.3778,eac_transition:INHIBITED,slider,0,0,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,82,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:22.258,3.3850,estop:loop overrun 364 ms,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,84,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:22.490,3.6169,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,90,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:22.887,4.0145,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,100,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:23.287,4.4142,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,110,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:23.688,4.8148,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,120,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:24.086,5.2129,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,130,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:24.487,5.6138,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,140,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:24.888,6.0152,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,150,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:25.286,6.4131,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,160,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:25.690,6.8169,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,170,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:26.090,7.2168,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,180,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:26.487,7.6137,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,190,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:26.886,8.0128,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,200,0,P,P,0.00,PRESSED,FAULT
2026-05-07 00:32:27.288,8.4147,,slider,0,1,0.00,0.00,0.10,INHIBITED,OUT_OF_RANGE,210,0,P,P,0.00,PRESSED,FAULT
