[2026-05-06 23:24:57.331] session start (20260506_232457)
[2026-05-06 23:24:57.542] CAN open: SYS TEC dev=0 ch=0 500 kbps
[2026-05-06 23:24:57.542] keepalive plan: GTW=False EPB=True 30MPH=False
[2026-05-06 23:24:57.543] err -> OUT_OF_RANGE
[2026-05-06 23:24:57.603] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:25:00.885] EAC: AVAILABLE -> ACTIVE (err=NONE)
[2026-05-06 23:27:47.186] EAC: ACTIVE -> AVAILABLE (err=NONE)
[2026-05-06 23:27:48.399] 30 MPH MODE on
[2026-05-06 23:27:48.452] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:27:48.452] err -> OUT_OF_RANGE
[2026-05-06 23:28:11.374] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.414] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.494] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.535] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.614] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.654] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.855] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.894] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.934] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:11.975] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:24.253] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:24.293] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:24.813] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:24.854] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:24.974] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.013] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.134] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.254] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.374] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.414] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.454] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.654] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.694] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.774] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.854] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:25.974] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.014] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.054] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.094] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.294] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.374] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.614] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.654] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.934] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:26.974] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:27.254] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:27.294] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
[2026-05-06 23:28:27.574] EAC: AVAILABLE -> INHIBITED (err=OUT_OF_RANGE)
[2026-05-06 23:28:27.614] EAC: INHIBITED -> AVAILABLE (err=OUT_OF_RANGE)
