wall_time,monotonic,event,mode,engaged,estop,target_deg,commanded_deg,measured_deg,eac_status,eac_error,rx_count_0x370,bus_errors
2026-05-06 23:30:49.539,0.1996,eac_transition:AVAILABLE,slider,0,0,0.00,0.00,10.80,AVAILABLE,OUT_OF_RANGE,3,0
2026-05-06 23:30:49.820,0.4803,,slider,0,0,0.00,0.00,10.80,AVAILABLE,OUT_OF_RANGE,10,0
2026-05-06 23:30:50.220,0.8803,,slider,0,0,0.00,0.00,10.80,AVAILABLE,OUT_OF_RANGE,20,0
2026-05-06 23:30:50.620,1.2804,,slider,0,0,0.00,0.00,11.40,AVAILABLE,OUT_OF_RANGE,30,0
2026-05-06 23:30:51.021,1.6813,,slider,0,0,0.00,0.00,11.40,AVAILABLE,OUT_OF_RANGE,40,0
2026-05-06 23:30:51.421,2.0810,,slider,0,0,0.00,0.00,11.40,AVAILABLE,OUT_OF_RANGE,50,0
2026-05-06 23:30:51.821,2.4811,,slider,0,0,0.00,0.00,11.40,AVAILABLE,OUT_OF_RANGE,60,0
2026-05-06 23:30:52.221,2.8811,,slider,0,0,0.00,0.00,11.40,AVAILABLE,OUT_OF_RANGE,70,0
2026-05-06 23:30:52.621,3.2815,,slider,0,0,0.00,0.00,11.40,AVAILABLE,OUT_OF_RANGE,80,0
2026-05-06 23:30:53.021,3.6811,,slider,0,0,0.00,0.00,11.30,AVAILABLE,OUT_OF_RANGE,90,0
2026-05-06 23:30:53.421,4.0812,,slider,0,0,0.00,0.00,11.30,AVAILABLE,OUT_OF_RANGE,100,0
2026-05-06 23:30:53.821,4.4810,,slider,0,0,0.00,0.00,11.40,AVAILABLE,OUT_OF_RANGE,110,0
2026-05-06 23:30:54.222,4.8819,,slider,0,0,0.00,0.00,11.50,AVAILABLE,OUT_OF_RANGE,120,0
2026-05-06 23:30:54.621,5.2814,,slider,0,0,0.00,0.00,11.40,AVAILABLE,OUT_OF_RANGE,130,0
2026-05-06 23:30:55.021,5.6812,,slider,0,0,0.00,0.00,11.10,AVAILABLE,OUT_OF_RANGE,140,0
2026-05-06 23:30:55.423,6.0826,,slider,0,0,0.00,0.00,11.30,AVAILABLE,OUT_OF_RANGE,150,0
2026-05-06 23:30:55.822,6.4821,,slider,0,0,0.00,0.00,11.50,AVAILABLE,OUT_OF_RANGE,160,0
